Title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
FreedomsJournal,34.67594429,15.15306252,52.44778932,20.1810583,19.85463018,19.11791024,37.9861905,17.27280923,24.73897922,30.63081766,38.00469289,41.87511502,43.03051401,13.70483047,15.72013374,22.03497263,10.46740055,17.40784313,21.99038126,22.91180157,14.14032347,11.92666044,20.04102766,27.2842641,16.52141426,35.54365988,19.83090432,17.97034515,22.68570295,22.08599227,34.15725861,16.80129168,12.16979787,11.50803425,7.504953142,15.53399502,17.38481724,9.966577807,13.60846329,23.95825863,17.41874335,26.20038252,20.08521057,22.83767795,31.47564021,21.42869497,12.21562321,14.14406847,11.98110262,11.86788265,17.79579588,10.91391631,15.6556882,12.18248749,8.803328103,12.96360161,30.28292897,20.70129427,31.99572006,7.615561603,16.86224548,29.23181794,11.0542008,19.1182469,19.6636175,10.38269973,37.65145123,12.88493165,13.16403204,17.63769256,20.54280316,18.81572348,22.17760232,12.79005647,24.846837,22.87871912,32.19957416,11.38839384,18.97582591,28.17732277,20.04832945,10.60062112,12.35537446,19.3205097,22.98080564,22.03195441,20.58767323,18.16889391,25.08061663,21.30715193,7.743488817,21.67739252,34.86973948,19.33232782,19.50395979,12.95154836,16.01369481,26.35219255,31.19394024,16.04002328
FrederickDouglassPaper,95.74822079,178.6403087,114.1188342,115.424826,110.1630401,121.6107463,105.41603,144.2179469,97.43843057,121.2975814,116.5333897,107.2738703,124.5441445,63.87225453,95.6738192,108.105293,156.3325398,83.30202353,127.6836631,93.36932916,66.75013695,65.94012154,83.39708909,99.02263636,114.9712665,111.7285485,102.3738981,85.46946041,90.72913128,109.9932137,169.8556216,141.2433744,60.38825664,63.0307971,42.15563042,80.8040738,99.73364313,61.07994004,83.69256767,127.7738742,104.8478476,99.8895122,123.7969014,108.7828326,86.38709104,105.8165051,82.16692789,81.78840098,99.16486549,74.08386893,129.2569882,105.9603075,75.34242559,93.85001587,63.63911995,92.7239513,89.85921563,116.0055724,107.0523264,42.56155638,130.2586284,119.8016446,75.19469151,104.9297912,125.2663155,182.8685706,88.66753099,63.96981679,129.7305661,164.6839198,74.59362493,118.4257395,92.72939643,101.6186729,74.85841881,147.5885712,118.1640815,57.01032227,105.2568406,109.6254979,174.8392159,113.2462421,62.92667268,147.8014148,129.9641245,121.7513459,114.1774866,119.0147555,98.87667524,166.2721642,42.67769769,74.31229426,177.4652388,107.8527936,133.2075065,127.5523903,148.9316557,154.3119958,107.1383033,69.56157957
NationalAntiSlaveryStandard,76.99450253,79.25853042,140.8268316,76.4000915,76.69095904,81.89708131,80.339464,151.2392926,89.52779825,92.34719415,110.2409837,122.3048994,105.7928975,36.07435759,105.5134061,102.2592917,266.9907957,53.94697298,106.8241223,64.54474512,39.92632031,42.74586756,45.30401774,83.97337825,49.2986292,74.37582819,89.64440912,74.07805858,54.77230495,82.33108018,100.2563177,82.42480918,280.0830654,50.11728075,20.60308447,63.45588134,68.0536454,32.09392154,41.71767748,85.57542166,109.9170956,73.62401408,153.3540745,74.91872755,66.87707477,84.0337291,227.448906,50.06987501,91.05911376,293.5689744,91.34999976,78.70987266,54.3299679,75.40709065,91.68349277,89.87835291,79.40116367,98.89674197,75.03122033,20.83297883,99.90577192,77.10220726,109.4940072,58.57793485,87.26676699,97.74701235,103.3756184,46.82875737,92.09045865,100.4750137,64.67665041,70.43649255,66.99116356,56.6984075,76.60288705,82.48999727,91.80222816,32.95592871,76.14585787,69.91572314,102.7393491,51.81380228,31.37395332,110.5384333,117.0125307,79.76227256,104.1360009,102.8910336,80.45942796,106.5376481,20.78781266,233.3086206,69.1627961,82.57919858,97.44975728,131.3334865,93.39797797,125.0269813,100.0554747,41.81687459
TheColoredAmerican,67.56844867,69.56841407,82.29424377,59.91721792,60.3769321,67.2034927,100.9034841,83.05139293,71.13167752,55.52808053,99.68973213,91.43763251,119.8064793,36.10026113,53.5486087,70.37971125,66.16307447,43.07888482,91.1943567,68.44224797,33.57927186,38.38445386,41.30825049,57.6700696,60.95982228,63.15520142,56.87198067,42.91062231,52.95738042,92.07701014,131.4618095,116.8163953,35.48595989,37.60893087,23.41237403,52.46070097,63.53283569,31.79091538,40.35421182,92.16654145,64.47320826,67.28706648,86.5248106,72.00099457,62.43333659,58.45438234,48.14474066,42.92545122,43.95338253,40.46602173,63.63164286,35.5481156,36.98779953,39.6546225,29.87095971,46.99726679,47.61392868,45.65959451,61.23880081,23.44910733,50.48502861,47.58306439,38.71195041,68.6711716,64.34662915,50.58321194,80.77726916,38.98042232,43.99080403,89.84579136,44.30783876,68.36833892,55.43316828,42.15799713,39.78696278,106.8776776,73.62719006,33.00945327,91.91760827,102.5527037,59.56486337,37.77678924,36.11206299,93.90998254,93.04704351,88.45764658,57.66384482,95.44204826,52.48011717,86.85571554,23.7570094,53.92759716,177.137172,127.6412232,75.15046076,56.91984658,65.81547163,67.06125636,73.67276029,38.92846245
TheNorthStar,62.10696937,95.07949571,76.45317437,63.82574165,60.93601631,73.02119669,76.20907236,77.83712741,59.66397962,71.63927859,104.316293,109.276244,88.15441487,38.73344592,49.98868014,72.52346793,75.78498772,73.11240069,75.98143987,58.98766151,40.08300413,40.04703257,44.73117605,74.05422752,50.17454514,63.12423962,59.71522772,39.84891203,54.70172212,81.03244677,70.64418113,78.81791609,38.80991544,37.151043,25.73083777,55.0374966,53.76997057,37.27927808,44.71563527,87.33294404,65.0000889,64.8854816,61.12958523,73.22323623,53.86182749,84.80095267,102.2132479,45.0194808,76.17567512,44.90688611,79.3605645,52.16194947,45.78374043,61.80483164,35.9403454,60.52550316,60.83435464,70.97425555,73.60133455,25.75476088,70.82686033,61.15108994,55.51640348,64.25645409,82.93567218,94.48666951,81.69427961,37.93847551,89.12250155,90.58998687,44.84385753,75.74372557,62.65357626,42.34269737,48.65785554,90.14655397,71.28601929,33.14473325,59.63206418,59.79530341,71.00939587,43.82629063,37.07870001,74.77982794,81.2754065,61.86426519,66.05236609,78.6801164,69.02365474,119.6277811,25.80286254,45.998732,103.9011647,65.3389261,75.02783058,48.63771026,76.4013898,102.5163522,60.72453024,43.27697587
TheChristianRecorder,152.4642733,180.3590038,187.826188,203.4255443,130.042226,123.8079688,205.6042633,157.6348752,133.260233,129.6831359,298.389839,270.8259182,203.5712252,108.4879141,105.46016,176.824435,81.07919273,129.2482195,254.590869,171.1299448,105.2114852,106.6162758,129.709993,157.6297244,114.7185971,148.0647565,124.8755485,125.3522055,131.1648538,178.4930016,289.8186685,148.1681817,91.65944467,98.55829729,64.67972122,102.628166,277.8772293,189.6718958,125.7210745,210.7213231,137.5434658,192.0725457,139.945499,173.1059962,188.0691485,180.2950258,121.3918167,121.4457032,128.707341,95.38550655,160.8726455,95.78517453,506.2761906,110.244484,75.86616032,110.5025913,182.1620807,153.8106838,194.1272889,65.25144702,171.4239913,211.5248758,105.5986232,148.3596023,123.8914059,97.981505,219.3244234,100.6509559,113.2894735,170.3318793,168.1338503,175.7476882,210.0283483,121.4040593,117.4237556,213.8593974,168.1811305,89.30042336,512.7880722,200.1785082,113.8857739,114.4155215,96.59431492,163.0512714,150.8874073,189.0558515,169.5387163,133.7965492,120.5455222,135.876488,65.39424467,129.5760604,179.2235184,419.858915,154.8353003,141.2708609,129.7359337,97.61347568,197.7197801,117.7858582
TheNationalEra,350.6755571,265.7473012,330.7011329,354.2924953,344.7558025,402.0147955,291.3892385,259.9992331,284.5355068,300.0592105,379.248354,467.3285069,438.048727,177.1618754,247.1795458,612.5880762,285.9382717,289.86177,376.0133853,267.9634976,189.4459076,206.9889938,253.0806546,320.950153,213.6915248,330.9558652,482.240833,167.0415676,199.1944311,322.4986697,360.8458523,435.5503003,172.4959694,194.4978262,114.2354657,301.4817092,322.5801411,195.1101385,205.150888,335.2571908,366.3898203,277.3073151,232.7723792,410.8970576,266.0434224,305.1610149,526.4231808,230.9151784,465.100631,193.4859467,431.5681083,254.6586754,306.6024009,740.7051664,141.8848837,223.0704737,234.7903607,625.4913055,302.9315973,115.3687884,509.0068452,299.4872472,419.0601524,283.6159154,355.2767298,1161.828949,271.2343272,205.4907047,843.6561349,554.9156365,202.7551381,278.0917111,278.5642704,231.2706453,240.2537272,306.7115614,252.5851839,157.287807,250.1520399,292.5269888,416.2201581,685.1086837,169.4062456,621.7108685,528.3511604,273.1911307,374.9362256,274.0246657,241.3031187,275.2546699,115.6020346,219.7590578,252.864713,255.9353905,400.7687906,534.004071,470.9241194,370.9196231,289.5677675,198.011718
ProvincialFreeman,76.60722801,49.95122684,67.71457747,51.93983261,49.52573601,49.80767048,44.45971801,49.61582251,104.6661479,71.20053451,53.9942192,66.53283642,67.0360193,37.54540896,32.16206368,71.22314736,40.11320471,61.39542251,61.64857341,54.69617989,40.36660526,34.15190462,39.91550249,47.78122549,46.52528635,89.37813833,64.91524211,31.5808782,45.80944015,66.91017817,59.09447491,46.70091098,30.50383109,32.51989763,21.05715717,33.42933911,43.81321367,30.73077759,36.528272,46.75382588,47.64166182,58.21379799,41.31379447,79.90079007,45.47404858,47.17625569,71.47630859,37.32738563,41.95276799,30.1483408,47.94697321,33.18978485,60.08096557,39.77556259,25.96044018,40.07824684,62.71391704,133.1542571,68.10708045,21.51598504,53.24648747,63.30264471,36.6249551,48.26209655,48.47349977,38.65088942,43.61843796,33.92328988,42.61228115,56.511757,96.77811053,49.3166909,68.21821579,36.03002366,44.48829715,47.27387722,63.87560082,28.90812744,51.35196035,47.45904151,55.43454606,44.8673868,31.89697926,63.65903622,53.5611177,51.80711011,41.45033911,41.15037231,44.62313202,48.2752354,21.17928389,46.44555533,73.66007075,40.87621271,52.23326695,38.85213895,41.60404298,53.98204849,51.03361533,35.03218973
GodeysLadysBook,120.4047061,101.6650675,267.1111518,141.2694336,113.3398137,91.42437551,516.1049692,117.0014771,109.3469084,99.75426062,685.0758313,1039.514444,297.9722599,1767.933736,85.29663186,122.6494406,71.78192739,155.5086776,237.244296,275.7194516,171.0639469,127.7255491,492.1914721,448.2830784,100.8848466,99.95615544,89.48667097,203.0369605,211.158437,152.169804,112.6398654,83.04151339,95.78945267,100.9443231,67.49710335,80.54605341,491.550641,79.70644176,193.7267959,278.8995071,246.5527139,344.008384,84.78957903,173.4207317,209.9080377,253.8758961,85.53067155,442.7079062,84.39667381,84.10232825,118.1614784,83.12269728,106.4899918,81.95301605,71.88389456,96.18695843,198.5114674,103.9227054,242.4823171,70.19104672,90.40091074,352.0689316,82.27902863,140.234683,127.1074463,81.51257106,537.4341755,110.2730051,83.42767926,127.3008169,691.252206,143.7522811,521.2280474,89.10063922,247.8327275,158.9654263,162.3156053,94.97939904,92.63402101,193.3915028,90.73655067,77.9576178,99.65380734,144.6969673,137.5526994,92.77890655,348.8287516,108.535722,115.6083208,107.3230095,73.07261085,126.2111525,92.4756314,150.5956766,126.129729,277.8693256,100.2916368,75.54298228,157.1458288,143.8859969
TheLiberator,837.7745417,1227.81738,913.2882375,837.9125975,984.4524052,1035.758134,849.7658618,1091.303827,779.7303087,1132.551203,1199.034715,1087.552044,1056.83967,507.6609413,1408.624367,831.6754911,1698.26886,1079.465028,1055.256362,742.9455377,590.0827548,574.0631193,550.7842656,678.4448587,767.1001389,1007.897397,774.535765,709.1541786,777.2364189,895.7479654,966.4632993,1237.908535,627.6313394,564.2642457,1616.607915,1129.685032,656.6472823,1108.717653,613.3032894,979.9226672,898.6812957,707.9989701,1648.978709,712.5254274,644.8683796,1145.31758,1013.809931,656.3618095,1103.006566,631.616306,1063.465857,983.3899299,905.2134357,748.7098105,1700.682511,978.0971999,696.7165676,647.4151633,797.0436771,1412.496797,937.4474662,675.004372,850.1499249,886.7196593,1331.645046,997.6848054,1232.2829,604.7105174,977.8407444,1136.05305,586.1512342,1002.413201,649.906262,862.5421736,544.9042644,1240.477672,849.4950956,776.6690369,1052.397348,975.1136937,951.6274758,746.4319786,859.7533358,1010.551709,1356.00651,1318.741964,760.7455011,1484.376467,1011.964686,1538.388331,1687.949322,890.7258512,1178.482178,1239.051354,1297.235978,1245.969945,1145.593341,1314.3267,919.8509949,556.3463547
