name1,name2
Samuel Wells,C. C. Foote
Samuel Wells,Hon J. R. Giddings
Samuel Wells,G. W. Julian
Samuel Wells,C. Durkee
Samuel Wells,Wilson
Samuel Wells,George W. Clark
Samuel Wells,Edmonson
Samuel Wells,Daniel Webster
Samuel Wells,John Mclean
Samuel Wells,Mclean
Samuel Wells,Moses Stuart
Samuel Wells,F. Julius Lemoyne
Samuel Wells,William Goodell
Samuel Wells,Smith
Samuel Wells,Lemoyne
Samuel Wells,Christ
Samuel Wells,Wm. L. Chaplin
Samuel Wells,Charles T. Torrey
Samuel Wells,Drayton
Samuel Wells,Sayre
Samuel Wells,Harris
J. W. Loguen,Charles B. Ray
J. W. Loguen,Gerrit Smith
J. W. Loguen,Mary Springstead
J. W. Loguen,James Baker
J. W. Loguen,Fordyce Rice
J. W. Loguen,Caroline Brown
J. W. Loguen,James C. Jackson
J. W. Loguen,William L. Chaplin
J. W. Loguen,Joseph C. Hathaway
J. W. Loguen,William R. Smith
J. W. Loguen,Eleazer Seymour
J. W. Loguen,F. Rice
J. W. Loguen,Phebe Hathaway
J. W. Loguen,Louisa Burnett
J. W. Loguen,Frederick Douglass
J. W. Loguen,Francis Hawley
J. W. Loguen,Chas
J. W. Loguen,B. Ray
J. W. Loguen,A. Wheaton
J. W. Loguen,Charles D. Miller
J. W. Loguen,Anne V. Adams
J. W. Loguen,S. R. Ward
J. W. Loguen,Goodell
J. W. Loguen,H. Burleigh
J. W. Loguen,Loguen
J. W. Loguen,E. L. Platt
J. W. Loguen,Theodosia Gilbert
J. W. Loguen,Chaplin
J. W. Loguen,Charles A. Wheaton
J. W. Loguen,G. W. Clark
J. W. Loguen,Wm. R. Smith
J. W. Loguen,George W. Lawson
J. W. Loguen,Cyrus P. Grosvenor
J. W. Loguen,G. W. Johnson
J. W. Loguen,N. Y.
J. W. Loguen,Francis Jackson
J. W. Loguen,John G. Whittier
J. W. Loguen,Silas Cornell
J. W. Loguen,Thomas Davis
J. W. Loguen,C. D. Cleveland
J. W. Loguen,E. M. Davis
J. W. Loguen,C. C. Foote
J. W. Loguen,Hon J. R. Giddings
J. W. Loguen,G. W. Julian
J. W. Loguen,C. Durkee
J. W. Loguen,Wilson
J. W. Loguen,George W. Clark
J. W. Loguen,Edmonson
J. W. Loguen,Daniel Webster
J. W. Loguen,John Mclean
J. W. Loguen,Mclean
J. W. Loguen,Moses Stuart
J. W. Loguen,F. Julius Lemoyne
J. W. Loguen,William Goodell
J. W. Loguen,Smith
J. W. Loguen,Lemoyne
J. W. Loguen,Christ
J. W. Loguen,Wm. L. Chaplin
J. W. Loguen,Charles T. Torrey
J. W. Loguen,Drayton
J. W. Loguen,Sayre
J. W. Loguen,Harris
Charles B. Ray,Gerrit Smith
Charles B. Ray,Mary Springstead
Charles B. Ray,James Baker
Charles B. Ray,Fordyce Rice
Charles B. Ray,Caroline Brown
Charles B. Ray,James C. Jackson
Charles B. Ray,William L. Chaplin
Charles B. Ray,Joseph C. Hathaway
Charles B. Ray,William R. Smith
Charles B. Ray,Eleazer Seymour
Charles B. Ray,F. Rice
Charles B. Ray,Phebe Hathaway
Charles B. Ray,Louisa Burnett
Charles B. Ray,Frederick Douglass
Charles B. Ray,Francis Hawley
Charles B. Ray,Chas
Charles B. Ray,B. Ray
Charles B. Ray,A. Wheaton
Charles B. Ray,Charles D. Miller
Charles B. Ray,Anne V. Adams
Charles B. Ray,S. R. Ward
Charles B. Ray,Goodell
Charles B. Ray,H. Burleigh
Charles B. Ray,Loguen
Charles B. Ray,E. L. Platt
Charles B. Ray,Theodosia Gilbert
Charles B. Ray,Chaplin
Charles B. Ray,Charles A. Wheaton
Charles B. Ray,G. W. Clark
Charles B. Ray,Wm. R. Smith
Charles B. Ray,George W. Lawson
Charles B. Ray,Cyrus P. Grosvenor
Charles B. Ray,G. W. Johnson
Charles B. Ray,N. Y.
Charles B. Ray,Francis Jackson
Charles B. Ray,John G. Whittier
Charles B. Ray,Silas Cornell
Charles B. Ray,Thomas Davis
Charles B. Ray,C. D. Cleveland
Charles B. Ray,E. M. Davis
Charles B. Ray,C. C. Foote
Charles B. Ray,Hon J. R. Giddings
Charles B. Ray,G. W. Julian
Charles B. Ray,C. Durkee
Charles B. Ray,Wilson
Charles B. Ray,George W. Clark
Charles B. Ray,Edmonson
Charles B. Ray,Daniel Webster
Charles B. Ray,John Mclean
Charles B. Ray,Mclean
Charles B. Ray,Moses Stuart
Charles B. Ray,F. Julius Lemoyne
Charles B. Ray,William Goodell
Charles B. Ray,Smith
Charles B. Ray,Lemoyne
Charles B. Ray,Christ
Charles B. Ray,Wm. L. Chaplin
Charles B. Ray,Charles T. Torrey
Charles B. Ray,Drayton
Charles B. Ray,Sayre
Charles B. Ray,Harris
Gerrit Smith,Mary Springstead
Gerrit Smith,James Baker
Gerrit Smith,Fordyce Rice
Gerrit Smith,Caroline Brown
Gerrit Smith,James C. Jackson
Gerrit Smith,William L. Chaplin
Gerrit Smith,Joseph C. Hathaway
Gerrit Smith,William R. Smith
Gerrit Smith,Eleazer Seymour
Gerrit Smith,F. Rice
Gerrit Smith,Phebe Hathaway
Gerrit Smith,Louisa Burnett
Gerrit Smith,Frederick Douglass
Gerrit Smith,Francis Hawley
Gerrit Smith,Chas
Gerrit Smith,B. Ray
Gerrit Smith,A. Wheaton
Gerrit Smith,Charles D. Miller
Gerrit Smith,Anne V. Adams
Gerrit Smith,S. R. Ward
Gerrit Smith,Goodell
Gerrit Smith,H. Burleigh
Gerrit Smith,Loguen
Gerrit Smith,E. L. Platt
Gerrit Smith,Theodosia Gilbert
Gerrit Smith,Chaplin
Gerrit Smith,Charles A. Wheaton
Gerrit Smith,G. W. Clark
Gerrit Smith,Wm. R. Smith
Gerrit Smith,George W. Lawson
Gerrit Smith,Cyrus P. Grosvenor
Gerrit Smith,G. W. Johnson
Gerrit Smith,N. Y.
Gerrit Smith,Francis Jackson
Gerrit Smith,John G. Whittier
Gerrit Smith,Silas Cornell
Gerrit Smith,Thomas Davis
Gerrit Smith,C. D. Cleveland
Gerrit Smith,E. M. Davis
Gerrit Smith,C. C. Foote
Gerrit Smith,Hon J. R. Giddings
Gerrit Smith,G. W. Julian
Gerrit Smith,C. Durkee
Gerrit Smith,Wilson
Gerrit Smith,George W. Clark
Gerrit Smith,Edmonson
Gerrit Smith,Daniel Webster
Gerrit Smith,John Mclean
Gerrit Smith,Mclean
Gerrit Smith,Moses Stuart
Gerrit Smith,F. Julius Lemoyne
Gerrit Smith,William Goodell
Gerrit Smith,Smith
Gerrit Smith,Lemoyne
Gerrit Smith,Christ
Gerrit Smith,Wm. L. Chaplin
Gerrit Smith,Charles T. Torrey
Gerrit Smith,Drayton
Gerrit Smith,Sayre
Gerrit Smith,Harris
Mary Springstead,James Baker
Mary Springstead,Fordyce Rice
Mary Springstead,Caroline Brown
Mary Springstead,James C. Jackson
Mary Springstead,William L. Chaplin
Mary Springstead,Joseph C. Hathaway
Mary Springstead,William R. Smith
Mary Springstead,Eleazer Seymour
Mary Springstead,F. Rice
Mary Springstead,Phebe Hathaway
Mary Springstead,Louisa Burnett
Mary Springstead,Frederick Douglass
Mary Springstead,Francis Hawley
Mary Springstead,Chas
Mary Springstead,B. Ray
