source,target
Wm. Whipper,James G. Barbadoes
Wm. Whipper,Samuel Snowden
Wm. Whipper,Peter Williams
Wm. Whipper,Philip Bell
Wm. Whipper,Thomas Downing
Wm. Whipper,Peter Voglesang
Wm. Whipper,Joseph Cassey
Wm. Whipper,Robert Douglass
Wm. Whipper,James Forten
Wm. Whipper,Richard Howell
Wm. Whipper,Robert Purvis
Wm. Whipper,Thomas Green
Wm. Whipper,James P. Walker
Wm. Whipper,Samuel G. Mathews
Wm. Whipper,Isaac Whipper
Wm. Whipper,Samuel Hiner
Wm. Whipper,Biars Stanley
Wm. Whipper,John Creed
Wm. Whipper,Alexander C. Luca
Wm. Whipper,L. I. -- Jacob Deyes
Wm. Whipper,Henry Thomson
Wm. Whipper,Willis Jones
Wm. Whipper,Peter Spencer
Wm. Whipper,Jacob Morgan
Wm. Whipper,William S. Thomas
Wm. Whipper,Benjamin Latimore
Wm. Whipper,Schuyler
Wm. Whipper,Francis March
Wm. Whipper,D. C. -- William Jackson
Wm. Whipper,Arthur Waring
Wm. Whipper,Isaac Carey
Wm. Whipper,Charles Butler
Wm. Whipper,Jared Grey
Wm. Whipper,Carlisle
Wm. Whipper,John Peck
Wm. Whipper,Rowland G. Roberts
Wm. Whipper,Dennis Berry
Wm. Whipper,John B. Vashon
Wm. Whipper,Lewis Gardiner
Wm. Whipper,Abraham Lewis
Wm. Whipper,N. J.
Wm. Whipper,Peter Petitt
Wm. Whipper,Charles Anderson
Wm. Whipper,Adam Ray
Wm. Whipper,Sampson Peters
Wm. Whipper,Leonard Scott
Wm. Whipper,Frederick A. Hinton
Wm. Whipper,Joseph Casey
Wm. Whipper,Charles H. Leveck
Wm. Whipper,Thomas L. Jennings
Wm. Whipper,Henry H. Mondy
Wm. Whipper,Abner Cocker
Wm. Whipper,George C. Willis
Wm. Whipper,Alfred Niger
Wm. Whipper,William Wormley
Wm. Whipper,John W. Prout
Wm. Whipper,James Wilkins
Wm. Whipper,Scipio C. Augustus
Wm. Whipper,Charles Hatfield
Wm. Whipper,John Liverpool
Wm. Whipper,John P. Thompson
Wm. Whipper,Shipley
Wm. Whipper,Lundy
Wm. Whipper,Peirce
Wm. Whipper,Long-Island
Wm. Whipper,Lewis G. Wells
Wm. Miller,Henry Sipkins
Wm. Miller,L. Jennings
Wm. Miller,Wm. Hamilton
Wm. Miller,James Pennington
Wm. Miller,Abner Coker
Wm. Miller,Robert Cowley
Wm. Miller,Abraham D. Shad
Wm. Miller,Peter Gardiner
Wm. Miller,Wm. Duncan
Wm. Miller,W. Miller
Wm. Miller,William Duncan
Wm. Miller,Willliam Whipper
Wm. Miller,Charles W. Gardiner
Wm. Miller,Samuel Todd
Wm. Miller,Morel
Wm. Miller,Duncan
Wm. Miller,Cowley
Wm. Miller,Jennings
Wm. Miller,S. S. Jocelyn
Wm. Miller,Arthur Tappan
Wm. Miller,Benjamin Lundy
Wm. Miller,William L. Garrison
Wm. Miller,Thomas Shipley
Wm. Miller,Charles Pierce
Wm. Miller,Jocelyn
Wm. Miller,Tappan
Wm. Miller,Garrison
Wm. Miller,New-Haven
Wm. Miller,Samuel E. Cornish
Wm. Miller,Hosea Reiston
Wm. Miller,Robert Roberts
Wm. Miller,James G. Barbadoes
Wm. Miller,Samuel Snowden
Wm. Miller,Peter Williams
Wm. Miller,Philip Bell
Wm. Miller,Thomas Downing
Wm. Miller,Peter Voglesang
Wm. Miller,Joseph Cassey
Wm. Miller,Robert Douglass
Wm. Miller,James Forten
Wm. Miller,Richard Howell
Wm. Miller,Robert Purvis
Wm. Miller,Thomas Green
Wm. Miller,James P. Walker
Wm. Miller,Samuel G. Mathews
Wm. Miller,Isaac Whipper
Wm. Miller,Samuel Hiner
Wm. Miller,Biars Stanley
Wm. Miller,John Creed
Wm. Miller,Alexander C. Luca
Wm. Miller,L. I. -- Jacob Deyes
Wm. Miller,Henry Thomson
Wm. Miller,Willis Jones
Wm. Miller,Peter Spencer
Wm. Miller,Jacob Morgan
Wm. Miller,William S. Thomas
Wm. Miller,Benjamin Latimore
Wm. Miller,Schuyler
Wm. Miller,Francis March
Wm. Miller,D. C. -- William Jackson
Wm. Miller,Arthur Waring
Wm. Miller,Isaac Carey
Wm. Miller,Charles Butler
Wm. Miller,Jared Grey
Wm. Miller,Carlisle
Wm. Miller,John Peck
Wm. Miller,Rowland G. Roberts
Wm. Miller,Dennis Berry
Wm. Miller,John B. Vashon
Wm. Miller,Lewis Gardiner
Wm. Miller,Abraham Lewis
Wm. Miller,N. J.
Wm. Miller,Peter Petitt
Wm. Miller,Charles Anderson
Wm. Miller,Adam Ray
Wm. Miller,Sampson Peters
Wm. Miller,Leonard Scott
Wm. Miller,Frederick A. Hinton
Wm. Miller,Joseph Casey
Wm. Miller,Charles H. Leveck
Wm. Miller,Thomas L. Jennings
Wm. Miller,Henry H. Mondy
Wm. Miller,Abner Cocker
Wm. Miller,George C. Willis
Wm. Miller,Alfred Niger
Wm. Miller,William Wormley
Wm. Miller,John W. Prout
Wm. Miller,James Wilkins
Wm. Miller,Scipio C. Augustus
Wm. Miller,Charles Hatfield
Wm. Miller,John Liverpool
Wm. Miller,John P. Thompson
Wm. Miller,Shipley
Wm. Miller,Lundy
Wm. Miller,Peirce
Wm. Miller,Long-Island
Wm. Miller,Lewis G. Wells
Henry Sipkins,L. Jennings
Henry Sipkins,Wm. Hamilton
Henry Sipkins,James Pennington
Henry Sipkins,Abner Coker
Henry Sipkins,Robert Cowley
Henry Sipkins,Abraham D. Shad
Henry Sipkins,Peter Gardiner
Henry Sipkins,Wm. Duncan
Henry Sipkins,W. Miller
Henry Sipkins,William Duncan
Henry Sipkins,Willliam Whipper
Henry Sipkins,Charles W. Gardiner
Henry Sipkins,Samuel Todd
Henry Sipkins,Morel
Henry Sipkins,Duncan
Henry Sipkins,Cowley
Henry Sipkins,Jennings
Henry Sipkins,S. S. Jocelyn
Henry Sipkins,Arthur Tappan
Henry Sipkins,Benjamin Lundy
Henry Sipkins,William L. Garrison
Henry Sipkins,Thomas Shipley
Henry Sipkins,Charles Pierce
Henry Sipkins,Jocelyn
Henry Sipkins,Tappan
Henry Sipkins,Garrison
Henry Sipkins,New-Haven
Henry Sipkins,Samuel E. Cornish
Henry Sipkins,Hosea Reiston
Henry Sipkins,Robert Roberts
Henry Sipkins,James G. Barbadoes
Henry Sipkins,Samuel Snowden
Henry Sipkins,Peter Williams
Henry Sipkins,Philip Bell
Henry Sipkins,Thomas Downing
Henry Sipkins,Peter Voglesang
Henry Sipkins,Joseph Cassey
Henry Sipkins,Robert Douglass
Henry Sipkins,James Forten
Henry Sipkins,Richard Howell
Henry Sipkins,Robert Purvis
Henry Sipkins,Thomas Green
Henry Sipkins,James P. Walker
Henry Sipkins,Samuel G. Mathews
Henry Sipkins,Isaac Whipper
Henry Sipkins,Samuel Hiner
Henry Sipkins,Biars Stanley
Henry Sipkins,John Creed
Henry Sipkins,Alexander C. Luca
Henry Sipkins,L. I. -- Jacob Deyes
Henry Sipkins,Henry Thomson
Henry Sipkins,Willis Jones
Henry Sipkins,Peter Spencer
Henry Sipkins,Jacob Morgan
Henry Sipkins,William S. Thomas
