Type,Event,ConID
convention,1851-09-11,1851.ON-09.11.TORO.01
convention,1851-09-11,1851.ON-09.11.TORO.02
convention,1852-01-14,1852.OH-01.14.CINC.01
convention,1853-01-19,1853.OH-01.19.COLU.01
convention,1853-06-16,1853.ON-06.16.AMER.01
convention,1854-08-24,1854.OH-08.24.CLEV.01
convention,1858-11-23,1858.OH-11.23.CINC.01
convention,1858-05-08,1858.ON-05.08.CHAT.01
convention,1865-11-30,1865.AR-11.30.LITT.01
convention,1865-01-09,1865.LA-01.09.NEWO.01
convention,1865-09-12,1865.MI-09.12.DETR.01
convention,1865-10-19,1865.OH-10.19.CLEV.01
convention,1865-02-08,1865.PA-02.08.HARR.01
convention,1865-11-20,1865.SC-11.20.CHAR.01
convention,1865-08-02,1865.VA-08.02.ALEX.01
