source,target
Charles H. Levick,Robert Purvis
Charles H. Levick,William Whipper
Charles H. Levick,Abraham D. Shadd
Charles H. Levick,William Lewis
Charles H. Levick,Caleb Cregg
Charles H. Levick,Vincent Smith
Charles H. Levick,Jeremiah Miller
Charles H. Levick,Carlisle
Charles H. Levick,John Peck
Charles H. Levick,Thomas Butler
Charles H. Levick,Peter Gardiner
Charles H. Levick,James Bird
Charles H. Levick,Samuel C. Hutchins
Charles H. Levick,J
Charles H. Levick,D. Richardson
Charles H. Levick,George Galbrecht
Charles H. Levick,William Brewer
Charles H. Levick,Wilkesbarre
Charles H. Levick,Samuel Elliott
Charles H. Levick,Robert Cowley
Charles H. Levick,William D. Jenkins
Charles H. Levick,Samuel Hiner
Charles H. Levick,John Kelly
Charles H. Levick,Thomas Banks
Charles H. Levick,Henry Frisby
Charles H. Levick,Benjamin Stokely
Charles H. Levick,James C. Matthews
Charles H. Levick,Henry Ogden
Charles H. Levick,Emanuel W. Congo
Charles H. Levick,Robert J. Taylor
Charles H. Levick,Leonard Scott
Charles H. Levick,Abner H. Francis
Charles H. Levick,Peter Hubbard
Charles H. Levick,Joseph Burton
Charles H. Levick,Jacob Morgan
Charles H. Levick,Matthew Draper
Charles H. Levick,R. I. -- George Spywood
Charles H. Levick,Hosea Easton
Charles H. Levick,James G. Barbadoes
Charles H. Levick,George W. Thompson
Charles H. Levick,Richard Johnson
Charles H. Levick,New-Haven
Charles H. Levick,Luke Lathrop
Charles H. Levick,Mason Freeman
Charles H. Levick,William Hamilton
Charles H. Levick,Thomas L. Jinnings
Charles H. Levick,Ransom F. Wake
Charles H. Levick,Charles Mortimer
Charles H. Levick,James Barnett
Charles H. Levick,George Richardson
Charles H. Levick,William Brown
Charles H. Levick,H.C. Thompson
Charles H. Levick,J. W. C. Pennington
Charles H. Levick,Charles Smith
Charles H. Levick,P. Johnson
Charles H. Levick,William Rich
Charles H. Levick,Troy
Charles H. Levick,John G. Stewart
Charles H. Levick,Henry Sipkins
Charles H. Levick,Messrs. Watkins
Charles H. Levick,Douglass
Charles H. Levick,Nathan Johnson
Charles H. Levick,Thomas Van Renselear
Charles H. Levick,L. Jinnings
Charles H. Levick,Wm. Hamilton
Charles H. Levick,Richard D. Johnson
Charles H. Levick,John B. Dupuy
Charles H. Levick,Messrs. Purvis
Charles H. Levick,Butler
Charles H. Levick,Peck
Charles H. Levick,Spywood
Charles H. Levick,Barbadoes
Charles H. Levick,P. C. Matthews
Charles H. Levick,Robt
Charles H. Levick,Purvis
Charles H. Levick,F. A. Hinton
Charles H. Levick,Lloyd Garrison
Charles H. Levick,T. L. Jinnings
Charles H. Levick,Wm. Lewis
Charles H. Levick,Elliott
Charles H. Levick,R. F. Wake
Charles H. Levick,David Ruggles
Charles H. Levick,J. G. Stewart
Charles H. Levick,S. H. Gloucester
Charles H. Levick,Geo
Charles H. Levick,Garrison
Charles H. Levick,R. Purvis
Charles H. Levick,George Spywood
Charles H. Levick,James W. C. Pennington
Charles H. Levick,Henry C. Thompson
Charles H. Levick,Wm. D. Jenkins
Charles H. Levick,Abner Frances
Charles H. Levick,Thomas
Charles H. Levick,Hamilton
Charles H. Levick,Levington
Charles H. Levick,John B. Vashon
Charles H. Levick,Vashon
Charles H. Levick,Bacon
Charles H. Levick,George R. Richardson
Charles H. Levick,Arnold Buffom
Charles H. Levick,Prudence Crandall
Charles H. Levick,Arthur Tappen
Charles H. Levick,R. Cowley
Charles H. Levick,Cowley
Charles H. Levick,Draper
Charles H. Levick,Stewart
Charles H. Levick,Wm. Whipper
Charles H. Levick,Hinton
Charles H. Levick,William Wharton
Charles H. Levick,Charles Marriott
Charles H. Levick,Wharton
Charles H. Levick,Austin Stewart
Charles H. Levick,Whipper
Charles H. Levick,Eliott
Charles H. Levick,N. J.
Charles H. Levick,Simon S. Jocelyn
Charles H. Levick,Jenkins
Charles H. Levick,John G. Steward
Charles H. Levick,H. Ogdeu
Charles H. Levick,T. L. Jennings
Charles H. Levick,H. Sipkins
Charles H. Levick,L. Lathrop
Charles H. Levick,W. Whipper
Charles H. Levick,D. Ruggles
Charles H. Levick,Jinnings
Charles H. Levick,Thomas I. Jinnings
Charles H. Levick,Johnson
Charles H. Levick,J. G. Barbadoes
Charles H. Levick,Cor
Charles H. Levick,George C. Willis
Charles H. Levick,Alfred Niger
Charles H. Levick,J. W. Creed
Charles H. Levick,John Liverpool
Charles H. Levick,Samuel Eliott
Charles H. Levick,Israel Jeffries
Charles H. Levick,Hubbard
Charles H. Levick,John P. Burr
Charles H. Levick,Rob
Charles H. Levick,Manuel
Charles H. Levick,Rhuben Rhuben
Charles H. Levick,Arthur Waring
Charles H. Levick,John Cook
Charles H. Levick,W. D. Jenkins
Charles H. Levick,John Rich
Charles H. Levick,R. Island
Charles H. Levick,John Robertson
Charles H. Levick,James Frazer
Charles H. Levick,William C. Jeffers
Charles H. Levick,John Berrian
Charles H. Levick,Thomas Shipley
Charles H. Levick,Benjamin Lundy
Charles H. Levick,Lewis
Charles H. Levick,Evan Lewis
Charles H. Levick,Benjamln Lundy
Charles H. Levick,Lydia White
Charles H. Levick,La Fayette
Charles H. Levick,James Foster
Charles H. Levick,Peter Williams
Charles H. Levick,J. G. Steward
Charles H. Levick,J. C. Mathews
Charles H. Levick,Jehovah
Charles H. Levick,Simeon S. Jocelyn
Charles H. Levick,William Lloyd Garrison
Charles H. Levick,Elliot Cresson
Noah Cannon,Abraham Williams
Noah Cannon,Stephen H. Gloucester
Noah Cannon,Robert Purvis
Noah Cannon,William Whipper
Noah Cannon,Abraham D. Shadd
