Mary A. Shadd
G. W. Reed,0.9991711378097534
Reese,0.9987975358963013
Daniel Morgan,0.9987800121307373
Henry Ray,0.9986802339553833
Joseph Reeves,0.9986023902893066
Benjamin B. Moore,0.9985608458518982
Thomas Charnock,0.9985454082489014
J. C. White,0.9985440969467163
Edward M. Thomas,0.9985166788101196
Jason Jeffries,0.99845290184021
Abraham D. Shadd
Charles W. Gardiner,0.9855726957321167
Joshua P.B. Eddy,0.9756245613098145
Van Brackle,0.9710597991943359
Anthony Campbell,0.9699468612670898
Samuel Van Brackle,0.9694137573242188
W. Whipper,0.9693539142608643
Lewis Woodson,0.966550350189209
Orange,0.9563567042350769
Purvis,0.9499751329421997
Richard Johnson,0.9419280886650085
Abram D. Shadd
James Mccrummell,0.9991185069084167
James Mccrummel,0.998855471611023
Perry Miller,0.9983928203582764
G. W. Goines,0.9979432821273804
Wm. Thomson,0.997848629951477
Edward Hawkins,0.9978424310684204
Thomas Earley,0.997766375541687
S. Van Brakle,0.9974846839904785
Charles E. Clayton,0.9974803924560547
Leonard A. Williams,0.9974557161331177
A. D. Shadd
Rodgers,0.9782723784446716
Joshua P.B. Eddy,0.9778606295585632
John C. Bowers,0.9754338264465332
Anthony Campbell,0.9751298427581787
John Mentin,0.9743771553039551
J. J. Bias,0.9743238687515259
Spencer,0.9743101596832275
Van Brackle,0.9741171002388
Ephraim D. Williams,0.9740525484085083
J. W. Admas,0.9738383293151855
I. D. Shadd
W. H. Leeman,0.9985794425010681
G. J. Reynolds,0.9984549283981323
Thomas M. Kinnard,0.9983662962913513
William C. Munroe,0.9980208277702332
C. P. Todd,0.9979343414306641
John E. Cook,0.9978355765342712
William Charles Munroe,0.9978160858154297
Osborne P. Anderson,0.9977418780326843
Stephen Dettin,0.9977148771286011
Isaac Holler,0.9973716735839844
Samuel R Ward
D. Goodley,0.9982385039329529
H. Wilson,0.9980915188789368
Isaiah Clifford,0.9972664713859558
B. Hoyt,0.9964044094085693
William H. Harrison,0.9962148666381836
Wm H Topp,0.9957592487335205
J. Theodore Holly,0.9955718517303467
G. Moragn,0.9950132369995117
H.F. Stanton,0.9948513507843018
H K Thomas,0.9948420524597168
Samuel R. Ward
Madison Blount,0.9995136857032776
Lowery,0.9994506239891052
Iatter,0.9994447827339172
George Valentine,0.9993764162063599
Noah,0.9993628263473511
H. Greene,0.9993377923965454
Daniel O ' Connell,0.9993232488632202
J. R. Rolland,0.9993111491203308
Bishop Onderdonk,0.9992365837097168
Robert Nicholas,0.9992272853851318
S. R. Ward
Augustus Washington,0.997922956943512
Benjamin Cutler,0.9976574778556824
Primus Robinson,0.997366189956665
Eli N. Hall,0.9968901872634888
Willis Hodges,0.9948846697807312
John J. Zuille,0.9947368502616882
F. Van Vranken,0.9945878386497498
P.H. Reason,0.9939151406288147
Henry Williams,0.9932226538658142
Jacob Brown,0.9931190013885498
Charles B. Ray
S. Myers,0.9865714907646179
Francis Thompson,0.9809402227401733
C. B. Ray,0.980297327041626
Uriah Boston,0.9796218872070312
Wm. Rich,0.9794417023658752
John J. Zuille,0.9790428876876831
A. Crummell,0.9769198298454285
Alex Crummell,0.9766718149185181
J. W. Duffin,0.9766463041305542
Patrick H. Reason,0.9751971960067749
Chas B Ray
Moses A. Jackson,0.9995331764221191
Henry H Gamet,0.9987444281578064
J.Mccune Smith,0.9987143278121948
Morton,0.9986677169799805
Littleton Becket,0.9985337853431702
Andrew Purnell,0.9984529614448547
Samuel Smith,0.9984462857246399
J Spence,0.9982522130012512
L. Hayden,0.9982273578643799
Wm W. Brown,0.9981765747070312
C. B. Ray
Wm. H. Topp,0.9908844828605652
J. W. Duffin,0.988021969795227
Charles L. Reason,0.9879468679428101
Francis Thompson,0.9878448247909546
Uriah Boston,0.9870728254318237
C. L. Reason,0.9814556837081909
S. Myers,0.9809756278991699
Charles B. Ray,0.980297327041626
James W. Duffin,0.9799556136131287
Alex Crummell,0.9798764586448669
C.B. Ray
Ralph Francis,0.9910488724708557
J.W. Duffin,0.9903491139411926
Harrison Powell,0.9896683692932129
W. Duffin,0.9883323907852173
R. Francis,0.9879088997840881
A. H. Francis,0.9877505898475647
John Wendall,0.9873908162117004
J. Fountain,0.9871930480003357
E.B. Dunlap,0.9866902828216553
J. P. Morris,0.9854139089584351
B. Ray
C. Nell,0.9938253164291382
A. M. Sumner,0.9911121129989624
W. C. Nell,0.9835229516029358
William G. Allen,0.982009768486023
Kenney,0.9815458059310913
Wm H. Topp,0.9811250567436218
Topp,0.9801837801933289
Lewis Jackson,0.9797663688659668
W. H. Topp,0.9777112007141113
William S Baltimore,0.977536141872406
William Lloyd Garrison
Whipper,0.9754173755645752
Garrison,0.972937822341919
J. B. Vashon,0.9719130396842957
Thomas Butler,0.9704573750495911
Aid-De-Camp,0.9658256769180298
Wm. Whipper,0.9652910232543945
Thomas L. Jennings,0.9650040864944458
John B. Vashon,0.9613701105117798
Patterson,0.9599829912185669
Tappan,0.9592592120170593
William L. Garrison
Peter Spencer,0.9992374181747437
L. Jennings,0.9992058277130127
Scipio C. Augustus,0.99880051612854
Benjamin Latimore,0.99876868724823
Peter Voglesang,0.9987584352493286
Willis Jones,0.9986779689788818
Evan Lewis,0.9986152648925781
Robert Roberts,0.9984353184700012
Francis March,0.9981389045715332
Charles H. Leveck,0.9981378316879272
Wm. Lloyd Garrison
K. A. Hinton,0.9995638728141785
Elliot,0.9995026588439941
Robert Henson,0.9992805123329163
John Dowers,0.9991426467895508
Benjamin Paschal,0.9991337060928345
Alexander C. Lucas,0.9990931153297424
