cluster,members
0,1840.NY-08.18.ALBA.1.txt,1840.NY-08.18.ALBA.2.txt,1843.NY-08.15.BUFF.txt,1844.NY-09.18.SCHE-Minutes.txt,1844.NY-09.18.SCHE-Report.txt,1847.NY-11.06.TROY.txt,1850.NY-08.21.CAZE.txt,1851.NY-07.22.ALBA.txt,1854.NY-01.02.ALBA.txt,1855.CT-04-18.HART.txt,1855.NY-01.20.ALBA.txt,1855.NY-09.04.TROY.txt,1858.NY-09.14.TROY.txt,1863.NY-07.16.POUG.txt,Schuyler,J. C. Morel,Gurley,P. A. Bell,Charles Morton,Henry Thompson,Austin Stewart,Abner H. Francis,J. W. C. Pennington,P. Johnson,William Rich,Troy,James W. C. Pennington,Jehovah,Charles S. Morton,George Hogarth,Perry,Thompson,Drayton,N. Y.,S. Wright,Junius C. Morell,C. B. Ray,Charles B. Ray,John J. Zuille,Charles L. Reason,Theodore S. Wright,Alexander Crummell,Frederick Olney,Ray,James W. Duffin,Henry R. Crummell,Michael Dougee,John T. Raymond,Wm. P. Johnson,Henry H. Garnet,Wm. H. Topp,Eli N. Hall,John Wendell,Armstrong Archer,Patrick H. Reason,Henry Williams,Thomas Jefferson,William H. Topp,Uriah Boston,Primus Robinson,F. Van Vranken,Richard Thompson,Benjamin Cutler,Jacob Brown,Ezekiel George,Lewis Jones,George H. Baltimore,F. Thompson,Clarence P. Seldon,George,Garnet,Abram Jackson,Daniel Jones,R. P. G. Wright,Francis Simson,Richard Sampson,Francis Dana,Francis Thompson,John Chester,Ambrose Dunbar,Thomas James,James Sharp,Augustus Washington,Willis Hodges,J. W. Duffin,P. H. Reason,A. Crummell,E. P. Rodgers,J. Sharp,T. S. Wright,H. H. Garnet,U. Boston,P.H. Reason,E.P. Rodgers,A.H. Francis,A. Dunbar,Marah,Alex Crummell,J.N. Mars,J.W. Loguen,M. Dougee,John P. Anthony,S. Myers,S. R. Ward,W. Johnson,F. Olney,W. P. Johnson,Wm. Rich,Sexton,J.W. Duffin,C.B. Ray,H.H. Garnet,R.P.G. Wright,Scott,Christ,J.H. Townsend,W. W. Brown,Chas,B. Ray,R. Francis,Amos G. Beman,H. Johnson,Weir,H. W. Johnson,Ralph Francis,R. H. Johnson,George Weir,A. M. Sumner,R. Banks,Wright,J. N. Gloucester,C. Nell,James Hall,Peter Hornbeck,George W. Gordon,James H. Henderson,William P. Powell,William P. Johnson,W. Gordon,Jeremiah Powers,James M'Cune Smith,Ulysses B. Vidal,Rich,L. Harper,James H. Davis,William G. Allen,Wm. P. Mcintyre,Lewis Jackson,H. Topp,Seth,Wm H. Topp,E. N. Hall,George T. Downing,E. V. Clark,Kenney,Hodges,God,Gerrit Smith,Gibbs,James Baker,Goodell,Loguen,George W. Clark,Daniel Webster,Morgan,Richard Wright,James M. Williams,Henry Hicks,John N. Still,Wm. F. Johnson,J. N. Still,Tompkins,W. Rich,George Walker,Washington Hunt,Edwin D. Morgan,Henry Clay,Daniel,Edward V. Clark,Wm. J. Wilson,William J. Wilson,J.W.C. Pennington,Duffin,Lewis H. Nelson,J. E. Brown,W. J. Wilson,Ebenezer D. Bassett,Lewis H. Putnam,Putnam,Mccune Smith,J. J. Simons,Jonathan C. Gibbs,Wm. J. Watkins,P. W. Ray,Peter W. Ray,William J. Watkins,Watkins,Jane Johnson,Passmore Williamson,Wm. Butler,J.C. Gibbs,Roger B. Taney,P. B. Randolph,Robert Hamilton
1,1830.PA-09.24.PHIL.txt,1831.PA-06.06.PHIL.txt,1832.PA-06.04.PHIL.txt,1833.PA-06.03.PHIL.txt,1834.NY-06.02.NEWY_ADDRESS.txt,1834.NY-06.02.NEWY_MINUTES.txt,Cyrus Black,Junius C. Morel,James Cornish,Belfast Burton,Robert Cowley,Peter Gardiner,Charles H. Leveck,Frederick A. Hinton,Austin Steward,C. Augustus,George C. Willis,Alfred Niger,Hezekiah Grice,Abraham D. Shad,Wm. Duncan,Robert Brown,John Bowers,Richard Howell,James P. Walker,Samuel Todd,Sampson Peters,Anthony Campbell,William Whipper,John P. Thompson,James Johnson,John P. Burr,Joseph Cassey,James Bird,Abraham Williams,Daniel B. Brownhill,Charles W. Gardner,Thomas Butler,Joshua Brown,Wm. Whipper,Henry Sipkins,L. Jennings,Wm. Hamilton,James Pennington,Morel,Cowley,Jennings,S. S. Jocelyn,Arthur Tappan,Benjamin Lundy,William L. Garrison,Thomas Shipley,Jocelyn,Garrison,New-Haven,Samuel E. Cornish,Robert Roberts,James G. Barbadoes,Samuel Snowden,Peter Williams,Thomas Downing,Peter Voglesang,Robert Douglass,James Forten,Robert Purvis,Thomas Green,Samuel G. Mathews,Isaac Whipper,Samuel Hiner,John Creed,Alexander C. Luca,Willis Jones,Peter Spencer,Jacob Morgan,Benjamin Latimore,Francis March,Arthur Waring,Isaac Carey,Charles Butler,Carlisle,John Peck,Dennis Berry,John B. Vashon,Abraham Lewis,N. J.,Charles Anderson,Adam Ray,Leonard Scott,Thomas L. Jennings,Scipio C. Augustus,John Liverpool,Butler,F. A. Hinton,William Hamilton,Joseph Burton,Samuel Elliott,Thomas Banks,Hosea Easton,Nathan Johnson,Sipkins,Hamilton,Vashon,Peck,Easton,Evan Lewis,Cor,Robt,Stephen H. Gloucester,Simeon S. Jocelyn,T. L. Jennings,Gardner,John Kelly,Hinton,William Lloyd Garrison,Whipper,Dennison,Lloyd Garrison,Samuel C. Hutchins,William Brewer,Wilkesbarre,Henry Ogden,Peter Hubbard,Luke Lathrop,Thomas L. Jinnings,John G. Stewart,George Spywood,Henry C. Thompson,Prudence Crandall,Manuel,Vallier,Great Jehovah,Raymond,Eli Johnson
2,1843.MA-08.03.SALE.txt,1849.NJ-08.21.TREN.txt,1863.KS-10.13.LEAV.txt,1865.NJ-07.13.TREN.txt,Rob,Charles W. Gardiner,Pennington,Thos,Cornish,Lewis Woodson,Abraham D. Shadd,W. Whipper,Orange,Joshua P.B. Eddy,Samuel Van Brackle,Van Brackle,Theo,Elimus P. Rogers,E. P. Rogers,Jesus,N. Jersey,James J. G. Bias,John Lewis,Samuel Harrison,A. D. Shadd,C. W. Gardiner,Crummell,Sam,James Butler,Wm. Douglass,Robert Jones,Henry Cornish,Yates,Joshua Woodland,Gideon Lewis,Alex. Crummell,Jno,R. Thomas,J. Smith,Morris,Van Rensselaer,Henderson,Horn,John Turner,J. S. Rock,Catto,W. H. Burnham,Burnham,Wm. H. Burnham,John H. Morris,J. H. Morris,Samuel Williams,G. Brooks,Lewis Overton,Leavenworth,Thomas H. Cooper
3,1855.CA-11.20.SACR.txt,1856.CA-12.09.SACR.txt,1865.CA-10.25.SACR.txt,W. Miller,G. Barbadoes,Barbadoes,Hubbard,Lewis,Hughes,Wilson,William Queen,J. Peterson,J. H. Townsend,Collins,David Lewis,Townsend,Phelps,Moore,M. W. Gibbs,Jefferson,Anderson,John Freeman,Sanderson,Hatton,Jacob Francis,E. P. Duplex,William H. Thomas,William Quinn,Peter Blackstone,George W. Booth,John G. Wilson,Thomas Detter,H. M. Collins,W. H. Newby,J. P. Dyer,D. W. Ruggles,F. G. Barbadoes,T. M. D. Ward,D. P. Stokes,J. J. Moore,Peter Anderson,W. D. Moses,Alfred J. White,Newby,Ward,Sutter,John J. Moore,Ruggles,W. Booth,D. Carter,Amador,Newport F. Henry,Samuel Kunee,J. Moore,El Dorado,E. R. Phelps,C. H. Mcdougall,J. Francis,R. A. Hall,Wm. H. Hall,W. H. Hall,I. P. Gibbs,W. H. Harper,H. Hall,H. Newby,P. Anderson,Bates,Bishop Hughes
4,1841.ME-10.06.PORT.01.txt,1841.ME-10.06.PORT.02.txt,1841.ME-10.06.PORT.txt,Freeman,Stephen Myers,Wesley,Whitefield,A.N. Freeman,J.W. Lewis,A.W. Niles,A. N. Freeman,J. W. Lewis,Whitfield,Amos N. Freeman,John W. Lewis,Stephen Myres,Niles,Jones,Gardiner,A. Jackson,Taylor,E. Waters,James
5,1842.IN-07.17.INDI.txt,1848.OH-09.06.CLEV.txt,1850.OH-01.09.COLU.txt,1851.IN-08.01.INDI.2.txt,1851.OH-01.15.COLU-b.txt,1851.OH-01.15.COLU.txt,1856.OH-01.16.COLU.txt,1857.OH-01.21.COLU.txt,1865.IN-10.24.INDI.txt,1866.KS-10.17.LAWR.txt,1867.OH-01.16.CINC.txt,1867.PA-01.08.PHIL.01.txt,William Johnson,Patterson,Andrew Jackson,George Johnson,Thomas Johnson,Jenkins,Frazer,A. Johnson,Henry Johnson,John Johnson,John Watson,J. Morgan,A. H. Francis,Tyler,J. G. Britton,John G. Britton,T. Roberts,N. Morgan,John Williams,Green,F. Douglass,H. Robinson,G. W. Tucker,J. Malvin,D. Jenkins,Malvin,Watson,John Jackson,J. Mccune Smith,William H. Seward,Clark,John Lyle,W. H. Topp,C. H. Langston,Justin Holland,C.H. Langston,Thomas Brown,J. L. Watson,Cox,J. M. Langston,W. H. Day,Copeland,J. Lott,Sanford,Langston,Ross,Peter,Posey,L. D. Taylor,C. A. Yancy,J. Purnell,J. Mercer Langston,A. Yancy,S. Jones,W. P. Morgan,J. Poindexter,J. Booker,J. M. Brown,J. Freeland,John Mercer Langston,Greene,Pike,J. Watson,J. Jackson,John Booker,Lewis Adams,L. W. Miner,A. R. Green,V. William H. Day,E. Weaver,John Quincy Adams,Hiram Johnson,Kent,Charles,Webster,Seward,Noyes,Jenks,Bey,Wm. Allen,Baldwin,Saml,Charles H. Langston,W. Hurst Burnham,James Poindexter,John T. Ward,William Walden,Joseph Henry Perkins,John I. Gaines,J. T. Ward,H. Langston,Bunker Hill,J. I. Gaines,John Jones,Gaines,Saxon,John Butler,Carter,Lawrence,Peter H. Clark,Franklin Pierce,P. H. Clark,Isham Martin,Granville Foster,C. D. Williams,John Malvin,Bryant,Jefferson Davis,Solomon G. Brown
6,1843.MI-10.26.DETR.txt,1851.ON-09.11.TORO.txt,1858.ON-05.08.CHAT.txt,1871.KY-01.01.FRAN.txt,1871.TN-02.22.NASH.txt,1879.TN-05.06.NASH.txt,1879.TX-07.02.HOUS.txt,1883.KY-09.24.LOUI.txt,1895.TX-05.23.HOUS.txt,Richard Allen,Brown,Robert Johnson,Bell,Roberts,Harrison,Simmons,J,Charles Smith,Thomas,Stewart,La Fayette,Smith,Shadd,Bird,Robertson,Charles Stewart,Henry Jackson,John,John Brown,H. H. Garnett,H. Jackson,Ed,Ruby,J. Lewis,Adams,M. R. Delany,W. C. Monroe,J. W. Brooks,Marshall,William Lambert,Robert Allen,Henry Bibb,William Smith,H. Bibb,R. Allen,R. Gordon,J. Anderson,Napoleon,Calhoun,Jefferson Fitzgerald,Gordon,Bibb,Christopher Greene,Philip S. Foner,D. Lewis,Fred,David Jenkins,G. Weir,P. Harris,Shelby,Topp,Harper,Spence,John C. Calhoun,Delany,Mason,Turpin,Hicks,Hall,Esther,Jabez P. Campbell,W.P. Newman,J. Wilson,Payton Harris,Baker,Cook,B. Smith,A. M. Ellsworth,Parker,Alexander Smith,Wm. C. Munroe,Augusta,Norman,Adam,Simms,Montgomery,William Parker,Cooper,J. Brown,Miller,Richardson,J. H. Harris,Reynolds,James Smith,Morris Henderson,O'Connell,J. Houston,G. W. Smith,Robert Caldwell,M. E. Church,George D. Johnson,Stevenson,Dixon,W. F. Anderson,Samuel Lowery,U. S. Grant,W. F. Yardley,Knox,N. W. Cuney,Cromwell,Noah
